Area,ED,Energy,SS,ResidueLength,PairNumber
4453.21,966.673,-733.2,4,55,88
5825.92,2578.5,-3366.5,13,87,166
6315.99,5139.54,-1025.6,6,99,321
13287.9,79938.5,-4704.66,45,272,3539
6981.89,12890.7,-2213.46,137,123,726
7936.28,4704.28,23231.8,103,131,271
11264.6,55620.0,-1041.41,173,209,2967
5155.67,3779.0,-1592.0,4,77,245
4970.37,3201.09,-1819.4,17,70,205
3447.72,682.744,-307.37,4,31,53
11001.4,51849.0,-6097.0,77,229,2605
7636.27,15908.3,-2794.77,76,134,970
4447.67,2036.02,-435.72,8,75,165
10418.7,27959.9,3445710.0,56,194,1521
6272.35,5774.0,-1963.0,62,89,399
9415.17,39685.0,139774.0,139,207,1995
6129.36,5420.88,-1251.7,9,105,371
6409.05,11285.8,-1433.52,152,111,651
4258.97,1041.01,-1674.7,22,66,101
8671.26,12033.8,-1499.17,8,128,693
5541.02,1797.18,-815.568,185,76,147
7293.31,1720.0,-2661.0,28,104,90
3984.11,555.76,78.331,23,65,35
4058.94,6523.99,28.086,40,68,481
8764.5,20324.0,-1163.06,174,163,1162
4990.86,1741.87,-1215.4,2,70,131
6784.5,11632.9,-1010.27,156,111,651
7441.26,9264.32,-1489.27,90,138,554
11701.3,48548.6,-4054.25,223,262,2394
13292.2,63437.9,3074.3,49,279,2979
6986.29,13407.5,-1050.71,189,96,804
6280.18,4785.07,-1922.3,15,107,319
6000.57,1921.79,-1126.59,16,84,136
12503.8,58412.0,-5915.0,47,261,2465
13703.1,52110.4,545.884,186,288,2334
7648.32,9010.17,-221.94,21,130,515
6225.59,8133.84,-3632.2,10,106,549
3692.63,554.131,-332.95,5,43,52
10123.5,21296.0,-4017.0,76,139,889
6070.1,13053.4,-1212.4,10,103,883
5460.02,4233.06,-931.853,15,88,292
4846.41,1865.46,-81.748,10,61,116
14333.8,81063.0,-6370.0,226,257,3371
36715.4,1350800.0,-24252.0,134,971,31560
4304.04,1665.74,-1109.4,6,61,134
26320.9,249910.0,-11285.0,37,396,5966
11140.9,34809.2,-3222.18,148,199,1696
13651.7,62921.0,-5474.0,46,258,2679
10662.8,59738.0,-5170.0,139,186,2460
17309.6,136997.0,460252.0,318,449,5537
8657.43,14563.7,-1534.15,14,140,845
12039.4,54377.3,-1901.4,44,220,2461
5279.55,3347.14,-2035.6,21,70,205
10163.6,50761.9,-4623.93,124,224,2192
11021.4,49101.7,-1218.41,20,190,2118
4224.83,1695.84,-821.44,7,61,134
8462.2,8832.87,2685.0,43,144,553
9556.97,36604.2,-3976.65,44,196,1997
4869.96,1912.39,-889.14,2,66,164
3936.0,6007.39,-658.09,18,68,481
13805.2,96929.0,-3590.66,39,281,3974
12215.3,84966.0,-10054.0,105,263,3463
27488.0,918289.0,-12882.0,129,675,24441
10647.7,45799.4,-1349.56,114,197,2257
19843.5,270821.0,5207.33,338,420,9137
9390.94,20315.5,219434.0,34,157,1113
13849.1,96236.7,-327.346,43,294,4249
10338.3,45143.7,-467.794,126,197,2257
9043.57,12146.0,-990.852,10,117,519
6199.41,4331.37,-1354.5,12,106,318
8364.95,13873.6,-3006.16,119,170,771
11233.0,39187.6,-1231.91,158,205,1751
14507.9,101624.0,-4198.0,61,267,3545
9676.31,39751.1,308455.0,227,159,2181
13642.5,141175.0,229.029,315,308,6057
12020.0,71417.9,2370.4,45,201,3289
9287.12,12471.7,866.35,34,152,693
6367.56,13588.6,-1260.2,14,103,883
18649.3,163419.0,340.855,220,352,6744
11264.9,32741.8,2883.0,65,210,1213
10007.3,54519.0,-4101.0,20,206,2742
11601.8,27860.0,-1349.67,63,194,1521
15876.8,271370.0,-9703.0,72,371,10238
6632.57,7267.93,1207.0,24,109,432
6891.89,7322.38,729.22,29,109,432
5950.58,7553.67,11192.4,56,90,405
21439.0,349516.0,80.9144,289,440,10967
7498.31,20808.0,-5834.0,13,147,1263
6113.5,5193.23,-879.36,7,105,371
8377.89,14592.1,-1380.0,102,140,845
22126.5,313801.0,-14355.0,90,604,11135
4504.16,2606.6,-742.87,23,65,202
6934.71,13581.5,132361.0,178,96,804
3981.79,6186.96,-114.03,33,68,481
5476.78,3986.26,-1573.39,39,79,292
3792.96,456.651,-628.19,1,36,35
19550.8,200761.0,-598.873,171,390,7459
4354.43,1984.08,-717.205,114,66,166
7914.69,13172.7,-2789.97,94,133,726
4478.0,2219.97,192.9,13,75,165
5055.66,2870.0,-1438.0,3,57,165
27786.2,622142.0,-12100.0,112,607,16234
4013.15,667.935,-320.23,16,58,43
11222.9,37643.0,-5392.0,41,214,1695
22727.3,517269.0,-12134.4,321,540,18067
4062.24,757.051,-2046.0,13,54,64
7514.61,9529.78,-957.61,19,123,621
8036.25,9613.02,-2937.89,203,130,490
12696.8,41529.7,-3042.61,38,278,1938
14931.4,96727.0,-6876.0,30,258,3293
6801.13,8633.05,22986.3,31,98,582
12611.3,57679.8,8314.1,72,220,2461
8162.92,33024.6,384.878,23,148,1919
6833.26,17187.0,-2446.3,7,128,1065
11931.8,30767.8,-4642.99,166,235,1525
3495.1,707.926,372.8,6,31,53
4588.61,1052.63,-302.51,28,62,102
9711.76,29589.7,-1206.91,27,156,1364
4260.62,2489.91,-815.14,20,65,202
3756.51,1196.09,-828.55,9,55,88
6725.68,9601.71,1654.4,24,115,547
3842.33,632.972,-297.53,17,58,43
3610.01,512.551,-674.83,3,36,35
3843.55,480.072,-728.29,1,36,35
14553.9,93364.8,-770.23,44,294,4249
12673.7,42465.8,-3303.1,244,278,1938
8970.22,11087.7,-2539.98,105,156,654
4069.3,1592.84,-761.14,8,61,134
12082.6,68444.7,2374.6,58,201,3289
5229.82,3452.59,106.242,2,51,132
5850.02,1783.92,-934.932,11,76,147
7061.7,4496.9,-2076.9,5,110,294
12255.7,36638.1,-1800.6,128,234,1581
4616.58,1655.82,-1204.4,5,70,131
8285.67,15460.6,-2612.6,38,141,932
9390.38,34859.3,311265.0,40,148,1919
6968.38,6686.63,-1186.24,98,122,429
12560.4,60014.8,-290.373,190,223,2822
11235.9,70042.9,-5206.08,183,247,3373
5922.76,7590.86,-631.12,19,99,583
4406.56,2089.09,136.33,22,75,165
6849.1,7947.6,-2962.0,11,117,427
4402.33,2371.26,-771.15,6,61,184
9575.7,27887.0,-2299.0,35,186,1416
8287.42,15234.9,-649.81,32,127,802
12188.2,37054.0,-3707.0,27,200,1575
3836.8,1444.76,-753.319,159,52,133
16185.2,162381.0,-4088.8,205,352,6744
5438.2,977.831,-967.839,32,64,76
4434.0,2886.58,-351.34,36,65,202
8512.96,9120.19,1806.9,41,144,553
4641.88,2946.48,-130.74,36,65,202
14245.4,52595.3,1350.5,57,288,2334
5385.37,2771.55,522.73,5,81,169
4183.22,1323.82,-1243.8,1,57,129
3509.45,2318.49,1242.5,11,55,167
7882.36,22368.0,-3237.0,57,148,1165
5605.99,2019.64,-1033.5,10,77,165
13154.9,50654.5,-4307.9,134,215,2188
8675.44,30221.0,-1765.0,19,168,1571
4465.78,2128.56,79.556,26,75,165
12442.2,54180.6,-4090.32,146,218,2391
4209.82,6607.91,-44.457,25,68,481
10366.6,20028.7,-675.722,22,157,1113
3479.52,562.464,-432.02,14,51,45
19262.6,260781.0,-11947.0,262,424,9408
4600.17,2622.0,-1442.0,5,71,184
4580.95,2037.12,658.96,13,75,165
5706.27,4469.09,-967.003,23,88,292
6022.92,3890.14,-646.16,16,100,294
9361.53,39401.3,10316.3,113,207,1995
3821.97,471.061,-985.4,2,36,35
4745.11,4118.66,-1460.43,98,72,340
10615.0,38120.2,-2507.47,26,205,1751
10699.6,48371.7,28396.4,94,190,2118
11180.6,41501.8,331193.0,150,227,2059
7350.56,8845.0,-3512.0,21,120,552
5804.29,1150.65,-1110.9,3,57,76
9595.13,11433.0,349.544,229,139,587
5771.81,3686.33,-757.129,7,51,132
6181.17,4992.01,-544.069,108,96,347
13975.7,103627.0,-7165.28,46,307,3979
18916.8,240183.0,-9215.0,67,441,8998
6804.11,7352.42,834.08,25,109,432
3718.92,579.341,-312.27,14,43,52
7953.72,16752.0,-3486.0,138,127,973
4639.57,2576.44,-432.26,29,63,184
15582.2,141909.0,23114000.0,246,362,5847
8635.05,37635.2,-2776.07,47,180,2054
3654.08,514.139,-574.82,3,36,35
3973.52,1446.07,-724.475,159,52,133
6978.49,2673.07,292940.0,13,99,167
9942.84,58710.0,-6646.0,15,193,2673
24070.4,265748.0,-3307.96,292,540,8870
12332.1,85742.0,-7471.0,52,326,3891
5624.43,9282.35,62.8376,138,98,651
3631.6,1328.17,28702.8,2,40,100
3953.49,1642.63,-775.09,8,61,134
8984.65,13856.5,-1599.18,123,148,729
18154.0,163974.0,-8021.0,73,398,6186
17238.8,194308.0,-12024.0,294,375,6628
16590.3,170168.0,-1369.78,56,320,6391
22371.5,351754.0,-1480.21,101,440,10967
7718.53,9742.16,-2011.71,19,123,621
7990.27,9585.32,-1940.84,96,123,621
4420.61,2696.37,-345.48,24,65,202
3451.23,679.748,319.27,8,31,53
6657.09,5924.34,-1562.78,8,95,372
7090.92,4070.7,-936.677,8,101,249
8791.81,30151.6,-937.063,26,132,1513
15275.2,86403.3,-1212.76,96,301,3369
3700.42,565.514,-696.06,5,43,52
5941.13,7647.12,80040.7,14,104,457
15704.5,88656.9,3931.5,79,289,3710
9663.99,36639.0,-4025.42,27,196,1997
10174.4,38137.2,959.287,25,193,2118
5448.4,4480.57,-879.25,81,72,340
4227.87,1884.97,-979.073,33,55,147
6128.74,5164.13,-1044.8,7,105,371
5156.37,2818.84,-969.797,29,77,205
7839.69,9287.59,11271.4,91,138,554
6857.45,4171.0,-2890.0,15,100,269
10359.9,50973.0,-2882.0,60,196,2462
4055.96,586.523,-754.0,5,43,52
3635.93,499.786,-786.47,3,36,35
3766.85,565.097,-322.19,15,43,52
8550.48,34661.0,-4331.0,102,171,1988
4516.3,2363.05,-565.95,3,61,184
9494.12,12484.7,-423.522,111,136,619
5225.52,3205.32,139614.0,155,71,249
4378.01,2150.87,-620.26,4,61,184
6805.4,6523.96,-898.205,86,95,372
7520.37,15792.7,-873.715,94,134,970
